Date,Open,High,Low,Close,Adj Close,Volume
2018-12-14,123500,124000,121500,123500,123174.125,259268
2018-12-17,124000,124000,120500,122000,121678.0859,294847
2018-12-18,120500,124000,120000,122000,121678.0859,342972
2018-12-19,123000,128500,122500,127500,127163.5703,385472
2018-12-20,125500,128000,123500,127000,126664.8906,364624
2018-12-21,127000,127000,121000,121500,121179.4063,507653
2018-12-24,122000,124500,121000,123000,122675.4453,278884
2018-12-26,121000,122000,117500,119000,118686,275517
2018-12-27,120500,123000,118500,122500,122500,371637
2018-12-28,122500,123000,120500,122000,122000,322665
2019-01-02,121000,122000,117000,118000,118000,356120
2019-01-03,120000,125000,119000,122000,122000,525020
2019-01-04,123500,126000,122500,125500,125500,520785
2019-01-07,128000,132500,127000,131500,131500,502619
2019-01-08,132000,134000,129000,130000,130000,376127
2019-01-09,131000,134500,129500,133000,133000,381372
2019-01-10,132000,134500,130000,131000,131000,293112
2019-01-11,133000,134500,130500,131000,131000,322925
2019-01-14,130000,130500,125000,127000,127000,525411
2019-01-15,127500,132500,127500,132500,132500,335999
2019-01-16,132500,135000,131000,132500,132500,272719
2019-01-17,131500,138000,131500,136000,136000,407099
2019-01-18,137000,138500,136500,137500,137500,328761
2019-01-21,138000,138000,131000,131000,131000,457161
2019-01-22,128500,130500,126500,130000,130000,502285
2019-01-23,130000,134500,130000,132500,132500,259375
2019-01-24,131000,132500,127500,129500,129500,562335
2019-01-25,127500,131000,127000,130000,130000,281650
2019-01-28,129500,132500,129500,132000,132000,283360
2019-01-29,130000,136500,130000,136000,136000,411369
2019-01-30,139000,139500,133000,136000,136000,462280
2019-01-31,138000,143500,136000,136000,136000,1054276
2019-02-01,138000,140000,133000,133500,133500,530284
2019-02-07,132000,134000,128500,129000,129000,737938
2019-02-08,126500,129000,124500,126000,126000,704393
2019-02-11,127000,128500,125000,125500,125500,801465
2019-02-12,123500,124000,121500,123500,123500,1160217
2019-02-13,123500,126500,123500,125000,125000,373571
2019-02-14,125000,130500,125000,127500,127500,700427
2019-02-15,128500,131000,127500,127500,127500,420100
2019-02-18,129500,131000,125500,127000,127000,533191
2019-02-19,127000,128000,125500,126500,126500,218351
2019-02-20,126500,128000,125500,127000,127000,231753
2019-02-21,126500,130000,126500,129000,129000,347083
2019-02-22,129500,129500,125000,127000,127000,301395
2019-02-25,127000,128500,125500,126000,126000,338113
2019-02-26,126500,134000,126000,131500,131500,591643
2019-02-27,132000,134000,129000,129500,129500,322664
2019-02-28,130500,136000,130000,133000,133000,584183
